"track,artist"
"I'm Still Standing,Elton John"
"Sacrifice,Elton John"
"Uptown Girl,Billy Joel"
"We Didn't Start the Fire,Billy Joel"
"Every Breath You Take,The Police"
"Africa,TOTO"
"I Want to Know What Love Is - 1999 Remaster,Foreigner"
"I Wanna Dance with Somebody (Who Loves Me),Whitney Houston"
"Nothing's Gonna Stop Us Now,Starship"
"Take on Me,a-ha"
"You Spin Me Round (Like a Record),Dead Or Alive"
"Another One Bites The Dust - Remastered 2011,Queen"
"Celebration - Single Version,Kool & The Gang"
"Get Down On It - Single Version,Kool & The Gang"
"Our House,Madness"
"Got My Mind Set On You - Remastered 2004,George Harrison"
"You Can't Hurry Love - 2016 Remaster,Phil Collins"
"It's a Sin,Pet Shop Boys"
"Always on My Mind,Pet Shop Boys"
"Domino Dancing,Pet Shop Boys"
"West End Girls,Pet Shop Boys"
"You Can Call Me Al,Paul Simon"
"We Are The World,U.S.A. For Africa"
"Kingston Town,UB40"
"D.I.S.C.O. - English Maxi Version,Ottawan"
"Hands Up,Ottawan"
"One Night In Bangkok - Radio Edit / From “Chess” / Remastered 2016,Murray Head"
"Maniac,Michael Sembello"
"Break My Stride,Matthew Wilder"
"La Isla Bonita,Madonna"
"True Blue,Madonna"
"Say You, Say Me,Lionel Richie"
"Walking On Sunshine,Katrina & The Waves"
"Heaven Is a Place On Earth,Belinda Carlisle"
"House of the Rising Sun,The Animals"
"Forever Young,Alphaville"
"Big in Japan - 2019 Remaster,Alphaville"
"Wake Me Up Before You Go-Go,Wham!"
"Everything She Wants,Wham!"
"Back In Black,AC/DC"
"You Spin Me Round (Like a Record) - Rip It Up Version,Dead Or Alive"
"I Want To Break Free - Single Remix,Queen"
"Radio Ga Ga - Remastered 2011,Queen"
"Cheri Cheri Lady,Modern Talking"
"Brother Louie,Modern Talking"
"You're My Heart, You're My Soul,Modern Talking"
"Atlantis Is Calling (S.O.S. for Love),Modern Talking"
"You Can Win If You Want,Modern Talking"
"Sexy Sexy Lover - Vocal Version,Modern Talking"
"Everybody Wants To Rule The World,Tears For Fears"
"Never Gonna Give You Up,Rick Astley"
"Together Forever,Rick Astley"
"Billie Jean,Michael Jackson"
"Beat It,Michael Jackson"
"Thriller,Michael Jackson"
"Smooth Criminal - 2012 Remaster,Michael Jackson"
"Holding Out for a Hero - From ""Footloose"" Soundtrack,Bonnie Tyler"
"If You Were a Woman (And I Was a Man),Bonnie Tyler"
"Total Eclipse of the Heart,Bonnie Tyler"
"It's a Heartache,Bonnie Tyler"
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack,Bill Medley, Jennifer Warnes"
"Faith - Remastered,George Michael"
"In The Air Tonight - 2015 Remastered,Phil Collins"
"Another Day in Paradise - 2016 Remaster,Phil Collins"
"Listen To Your Heart,Roxette"
"The Look,Roxette"
"Dressed For Success,Roxette"
"How Will I Know,Whitney Houston"
"We Built This City,Starship"
"If I Could Turn Back Time,Cher"
"I Will Survive - 1981 Re-recording,Gloria Gaynor"
"Smalltown Boy,Bronski Beat"
"Wonderful Life,Black"
"Never Ending Story,Limahl"
"The Final Countdown,Europe"
"Heaven,Bryan Adams"
"Party All the Time,Eddie Murphy"
"Don't Stop Believin',Journey"
"Livin' On A Prayer,Bon Jovi"
"You Give Love A Bad Name,Bon Jovi"
"Boys - Summertime Love,Sabrina"
"Sweet Dreams (Are Made of This) - Remastered,Eurythmics, Annie Lennox, Dave Stewart"
"Here Comes the Rain Again - Remastered Version,Eurythmics, Annie Lennox, Dave Stewart"
"I'm So Excited,The Pointer Sisters"
"What A Feeling,Irene Cara"
"Live Is Life (Digitally Remastered) (Single Version),Opus"
"Jump - 2015 Remaster,Van Halen"
"Cause You Are Young - Maxi-Version,C.C. Catch"
"I Can Lose My Heart Tonight - Maxi-Version,C.C. Catch"
"Heartbreak Hotel,C.C. Catch"
"Heaven and Hell,C.C. Catch"
"Soul Survivor - Single Version,C.C. Catch"
"Voyage voyage,Desireless"
"(I'll Never Be) Maria Magdalena - Single Verison,Sandra"
"Don't Stop Believin',Journey"
"Relax,Frankie Goes To Hollywood"
"I Still Haven't Found What I'm Looking For - Remastered 2007,U2"
"I Love Rock 'N Roll,Joan Jett & the Blackhearts"
"I Want It All - Single Version,Queen"
"Venus,Bananarama"
