track,artist
"Concerto No. 1 in B-Flat Minor for Piano and Orchestra, Op. 23: I. Allegro non troppo e molto maestoso - Allegro con spirito","John Lill, London Symphony Orchestra"
"An der schönen blauen Donau, Op. 314","Johann Strauss II, Berliner Philharmoniker, Herbert von Karajan"
"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante","Wolfgang Amadeus Mozart, Howard Shelley, London Mozart Players"
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott"
Morning Mood,"Edvard Grieg, Yuri Temirkanov"
"Quintet in E Major, Op. 11, No. 5, G.275: 3. Minuetto - (Ferris Bueller's Day Off)","Luigi Boccherini, Royal Philharmonic Orchestra, James Morgan"
"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major","Franz Liszt, Jenő Jandó"
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro","Wolfgang Amadeus Mozart, Cologne New Philharmonic Orchestra, Volker Hartung"
"Tchaikovsky: Violin Concerto in D Major, Op. 35: I. Allegro moderato","Pyotr Ilyich Tchaikovsky, Itzhak Perlman, Eugene Ormandy, Philadelphia Orchestra"
"Salut d'amour, Op. 12","Edward Elgar, Charlie Siem, Paul Goodwin"
"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)","Antonín Dvořák, Seiji Ozawa, Yo-Yo Ma, Itzhak Perlman, Boston Symphony Orchestra"
"Adagio in E Major, K. 261","Wolfgang Amadeus Mozart, Pinchas Zukerman, Saint Paul Chamber Orchestra"
"Suite No. 3 in D Major, BWV 1068: II. Air","Johann Sebastian Bach, David Bell, Berliner Philharmoniker, Herbert von Karajan"
II. Romanze. Andante,"Wolfgang Amadeus Mozart, Bruno Walter, Columbia Symphony Orchestra"
Over the Waves,London Symphony Orchestra
"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato","Sergei Rachmaninoff, Anna Fedorova, Nordwestdeutsche Philharmonie, Laércio Diniz"
"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto","Sergei Rachmaninoff, Anna Fedorova, Nordwestdeutsche Philharmonie, Laércio Diniz"
