Wild Ones (feat. Sia),Flo Rida

Wake Me Up,Avicii

Danza Kuduro,Don Omar

On The Floor,Jennifer Lopez

Timber (feat. Ke$ha),Pitbull

Waka Waka (This Time for Africa) The Official 2010 FIFA World Cup (TM) Song (feat. Freshlyground),Shakira

Good Feeling,Flo Rida

Can\'t Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis

Dance Monkey,Tones And I

Locked out of Heaven,Bruno Mars

Mr. Saxobeat,Alexandra Stan

All Around The World (La La La),R3HAB

Don't Start Now,Dua Lipa

South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran

Party Rock Anthem,LMFAO

I Cry,Flo Rida

We Found Love,Rihanna

CAN\'T STOP THE FEELING! (from DreamWorks Animation\'s TROLLS),Justin Timberlake'

Time of Our Lives,Pitbull

No Lie,Sean Paul

Con Calma,Daddy Yankee

DJ Got Us Fallin\' In Love (feat. Pitbull),Usher

Levels - Radio Edit,Avicii

Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta

Don\'t You Worry Child - Radio Edit,Swedish House Mafia

Starboy,The Weeknd

One Kiss (with Dua Lipa),Calvin Harris

One Dance,Drake

goosebumps,Travis Scott

That's What I Like,Bruno Mars

Ni**as In Paris,JAY-Z

A Sky Full of Stars,Coldplay

The Nights,Avicii

Ric Flair Drip (with Metro Boomin),Offset

bad guy,Billie Eilish

One Last Time,Ariana Grande

Uptown Funk (feat. Bruno Mars),Mark Ronson

Safe And Sound,Capital Cities

Waiting For Love,Avicii

Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)

Sorry,Justin Bieber

Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk

This Is What You Came For,Calvin Harris

TiK ToK,Kesha

Unforgettable,French Montana

QUE PRETENDES,J Balvin

Baby,Justin Bieber

Happy - From Despicable Me 2,Pharrell Williams'

Summer,Calvin Harris

Ransom,Lil Tecca

Boy With Luv (feat. Halsey),BTS

boyfriend (with Social House),Ariana Grande

Ride It,Regard

Feel So Close - Radio Edit,Calvin Harris

24K Magic,Bruno Mars

More Than You Know,Axwell /\ Ingrosso

Alors on danse - Radio Edit,Stromae

Only Girl (In The World),Rihanna

Cool for the Summer,Demi Lovato

Outside (feat. Ellie Goulding),Calvin Harris

I Like It,Cardi B

In My Mind,Dynoro

Say So,Doja Cat

Super Bass,Nicki Minaj

Dancin (feat. Luvli) - Krono Remix,Aaron Smith

S&M,Rihanna

Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis

What Do You Mean?,Justin Bieber

Scream & Shout,will.i.am

Hey Brother,Avicii

I Took A Pill In Ibiza - Seeb Remix,Mike Posner

Glad You Came,The Wanted

Nice For What,Drake

Raise Your Glass,P!nk

Feel This Moment (feat. Christina Aguilera),Pitbull

Se Preparó,Ozuna

Breaking Me,Topic

Good Time,Owl City

Waves - Robin Schulz Radio Edit,Mr. Probz

Lose Control,MEDUZA

Higher Love,Kygo

Tusa,KAROL G

Sugar (feat. Francesco Yates),Robin Schulz

International Love (feat. Chris Brown),Pitbull

Club Can\'t Handle Me (feat. David Guetta),Flo Rida

This Girl (Kungs Vs. Cookin\' On 3 Burners),Kungs

