"track,artist"
"Believer,Imagine Dragons"
"Bohemian Rhapsody - Remastered 2011,Queen"
"Mr. Brightside,The Killers"
"Under the Bridge,Red Hot Chili Peppers"
"Africa,TOTO"
"Wonderwall,Oasis"
"Last Nite,The Strokes"
"Don't Stop Me Now - Remastered 2011,Queen"
"Don't Stop Believin',Journey"
"Do I Wanna Know?,Arctic Monkeys"
"Pumped Up Kicks,Foster The People"
"Another One Bites The Dust - Remastered 2011,Queen"
"In the End,Linkin Park"
"Back In Black,AC/DC"
"Before Your Birth,The Vices"
"Sweet Child O' Mine,Guns N' Roses"
"Shut Up and Dance,WALK THE MOON"
"Smells Like Teen Spirit,Nirvana"
"Ride,Twenty One Pilots"
"Pompeii,Bastille"
"Under Pressure,Queen, David Bowie"
"Stressed Out,Twenty One Pilots"
"Every Breath You Take,The Police"
"Seven Nation Army,The White Stripes"
"Numb,Linkin Park"
"Hotel California - 2013 Remaster,Eagles"
"Californication,Red Hot Chili Peppers"
"But Anyways,The Hourglass Effect"
"Radioactive,Imagine Dragons"
"Can't Stop,Red Hot Chili Peppers"
"Highway to Hell,AC/DC"
"Livin' On A Prayer,Bon Jovi"
"Revolution, Jesus - Radio Edit,Birds of Revolution"
"Sweet Home Alabama,Lynyrd Skynyrd"
"Take Me To Church,Hozier"
"Iris,The Goo Goo Dolls"
"How to Save a Life,The Fray"
"Boy,The Vices"
"Sex on Fire,Kings of Leon"
"Natural,Imagine Dragons"
"Centuries,Fall Out Boy"
"We Will Rock You - Remastered 2011,Queen"
"Thunderstruck,AC/DC"
"Creep,Radiohead"
"All Star,Smash Mouth"
"Feel Good Inc.,Gorillaz"
"Eye of the Tiger,Survivor"
"Chop Suey!,System Of A Down"
"Enter Sandman,Metallica"
"Hey There Delilah,Plain White T's"
"Sail,AWOLNATION"
"Have You Ever Seen The Rain,Creedence Clearwater Revival"
"Losing My Religion,R.E.M."
"Here Comes The Sun - Remastered 2009,The Beatles"
"Last Resort,Papa Roach"
"Dreams - 2004 Remaster,Fleetwood Mac"
"Old days,El Matador Alegre"
"Welcome To The Jungle,Guns N' Roses"
"Nothing Else Matters,Metallica"
"Sultans Of Swing,Dire Straits"
"Fortunate Son,Creedence Clearwater Revival"
"Summer Of '69,Bryan Adams"
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack,Aerosmith"
"Come As You Are,Nirvana"
"Little Talks,Of Monsters and Men"
"Bitter Sweet Symphony,The Verve"
"Paradise City,Guns N' Roses"
"Zombie,The Cranberries"
"Speaking Volumes,LINE X OUT, PAULAH"
"The Queens Hotel,Christin Hyshka"
"Should I Stay or Should I Go - Remastered,The Clash"
"Paint It, Black,The Rolling Stones"
"You Make My Dreams (Come True),Daryl Hall & John Oates"
"With Or Without You - Remastered,U2"
"Stairway to Heaven - Remaster,Led Zeppelin"
"I Write Sins Not Tragedies,Panic! At The Disco"
"Fade Away,Central Vibes"
"All The Small Things,blink-182"
"You Give Love A Bad Name,Bon Jovi"
"Basket Case,Green Day"
"Brown Eyed Girl,Van Morrison"
"Rocket Man (I Think It's Going To Be A Long, Long Time),Elton John"
"Somebody To Love - Remastered 2011,Queen"
"Beat It,Michael Jackson"
"Everybody Wants To Rule The World,Tears For Fears"
"You Shook Me All Night Long,AC/DC"
"What We Don't Say,Waves_On_Waves, Ciley Myrus"
"Otherside,Red Hot Chili Peppers"
"Mr. Blue Sky,Electric Light Orchestra"
"Go Your Own Way - 2004 Remaster,Fleetwood Mac"
"House of the Rising Sun,The Animals"
"Kryptonite,3 Doors Down"
"November Rain,Guns N' Roses"
"How You Remind Me,Nickelback"
"The Chain - 2004 Remaster,Fleetwood Mac"
"Renegades,X Ambassadors"
"Use Somebody,Kings of Leon"
"Figuremeout,Fury in Few"
"Dream On,Aerosmith"
"Killing In The Name,Rage Against The Machine"
